,FY2006,FY2007,FY2008,FY2009,FY2010,FY2011,FY2012,FY2013,FY2014,FY2015,FY2016,FY2017,FY2018,FY2019,FY2020,FY2021,FY2022,FY2023,FY2024,,,,,,,,,,
Mileage,225.8,401.0,455.2,575.9,454.6,430.1,492.5,631.0,622.2,622.2,926.8,983.5,1004.9,217.8,458.2,36.3,262.3,477.0,588.6,,,,,,,,,,
Taxis,20.6,20.3,16.6,16.8,17.8,28.1,25.5,31.4,37.5,37.5,31.2,36.6,43.0,30.1,31.0,32.0,32.9,33.9,34.9,,,,,,,,,,
Bus,68.0,69.0,65.0,74.0,90.0,114.0,113.0,117.0,123.0,123.0,125.0,137.0,107.0,113.0,115.0,117.0,120.0,122.0,124.0,,,,,,,,,,
Airplanes,1349.0,1422.5,1108.6,1121.6,1785.1,2056.1,2345.6,2877.2,3062.3,2651.9,2180.8,2689.2,2706.6,839.4,1812.5,118.5,1119.9,2305.8,2737.5,,,,,,,,,,
Trains,25.1,24.5,22.2,31.7,18.8,43.8,38.2,37.2,42.0,32.1,31.0,26.3,26.9,28.9,20.7,21.3,21.9,22.6,23.3,,,,,,,,,,
Total,1689.0,1937.0,1667.0,1820.0,2367.0,2672.0,3014.0,3694.0,3887.0,3466.9,3294.5,3872.3,3888.4,1277.1,2437.2,325.3,1556.5,2961.2,3508.6,,,,,,,,,,
