,FY2006,FY2007,FY2008,FY2009,FY2010,FY2011,FY2012,FY2013,FY2014,FY2015,FY2016,FY2017,FY2018,FY2019,FY2020,FY2021,FY2022,FY2023,FY2024,,,,,,,,,,
Total On-Campus Gasoline (gal),"24,567.10","25,650.90","24,462.10","20,447.00","23,099.50","21,709.20","24,160.00","26,842.00","26,532.90","24,650.60","23,933.30","22,986.00","20,625.20","15,604.40","15,128.40","16,779.10","14,458.10","17,776.20","14,523.80",,,,,,,,,,
Total diesel (gal),"11,815","13,315","17,719","13,062","17,338","13,525","12,435","12,586.00","13,029.00","9,266.00","10,164.20","10,312.00","9,968.00","7,196.00","7,250.00","8,886.00","8,797.10","8,886.00","8,485.70",,,,,,,,,,
MMBTUs of fuel(gasoline),"3,052.20","3,186.80","3,039.10","2,540.30","2,869.80","2,697.10","3,001.60","3,334.80","3,296.40","3,062.50","2,973.40","2,855.70","2,562.40","1,938.70","1,879.50","2,084.60","1,796.20","2,208.50","1,804.40",,,,,,,,,,
MMBTUs of fuel(Diesel),"1,638.60","1,846.60","2,457.50","1,811.60","2,404.60","1,875.80","1,724.50","1,745.60","1,807.00","1,285.10","1,409.70","1,430.20","1,382.50",998,"1,005.50","1,232.40","1,220.10","1,232.40","1,176.90",,,,,,,,,,
