,FY2006,FY2007,FY2008,FY2009,FY2010,FY2011,FY2012,FY2013,FY2014,FY2015,FY2016,FY2017,FY2018,FY2019,FY2020,FY2021,FY2022,FY2023,FY2024,,,,,,,,,,
Gas,242.9,253.7,241.9,202.2,229.6,215.8,240.2,266.8,263.7,245,237.9,228.4,205,155.1,150.4,166.8,143.8,176.7,144.3,,,,,,,,,,
Diesel,123.2,138.8,184.7,136.2,181.1,141.3,129.9,131.4,136.1,96.9,106.5,108.1,104.4,75.4,76,93.1,92.2,93.1,89,,,,,,,,,,
