Source,,,,,,,,,,,,,,,,,,
Year,2006_2007,2007_2008,2008_2009,2009_2010,2010_2011,2011_2012,2012_2013,2013_2014,2014_2015,2015_2016,2016_2017,2017_2018,2018_2019,2019_2020,2020_2021,2021_2022,2022_2023,2023_2024
RNatGas (MCF),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"10,000.00","20,000.00","16,892.00"
MMBTUs of fuel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"10,320.00","20,640.00","17,430.00"
Metric Tonnes CO2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.2,-0.5,-0.4
Tonnes CH4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MTCDE from CH4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.4,0.4
Tonnes N2O,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MTCDE from N2O,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.4,0.4
ΣMTCDE from natural gas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0.9,0.7
