Source,,,,,,,,,,,,,,,,,,
Year,2006_2007,2007_2008,2008_2009,2009_2010,2010_2011,2011_2012,2012_2013,2013_2014,2014_2015,2015_2016,2016_2017,2017_2018,2018_2019,2019_2020,2020_2021,2021_2022,2022_2023,2023_2024
NatGas (MCF),0,0,0,0,0,0,0,0,0,"70,395.00","56,457.00","82,149.00","94,801.00","82,926.00","114,187.00","119,649.00","80,864.40","60,969.00"
MMBTUs of fuel,0,0,0,0,0,0,0,0,0,"72,650.00","58,260.00","84,780.00","97,830.00","85,580.00","117,840.00","123,480.00","83,450.00","62,920.00"
Metric Tonnes CO2,0,0,0,0,0,0,0,0,0,"3,739.40","2,999.00","4,363.80","5,035.80","4,405.00","6,065.60","6,355.80","4,295.50","3,238.70"
Tonnes CH4,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
MTCDE from CH4,0,0,0,0,0,0,0,0,0,1.53,1.22,1.78,2.05,1.8,2.47,2.59,1.75,1.32
Tonnes N2O,0,0,0,0,0,0,0,0,0,0.07,0.06,0.08,0.1,0.09,0.12,0.12,0.08,0.06
MTCDE from N2O,0,0,0,0,0,0,0,0,0,22.5,18.1,26.3,30.3,26.5,36.5,38.3,25.9,19.5
ΣMTCDE from natural gas,0,0,0,0,0,0,0,0,0,"3,763.40","3,018.30","4,391.90","5,068.20","4,433.30","6,104.60","6,396.70","4,323.10","3,259.50"
