Source,,,,,,,,,,,,,,,,,,
Year,2006_2007,2007_2008,2008_2009,2009_2010,2010_2011,2011_2012,2012_2013,2013_2014,2014_2015,2015_2016,2016_2017,2017_2018,2018_2019,2019_2020,2020_2021,2021_2022,2022_2023,2023_2024
Propane (gal) *,"123,902","114,043","111,960.20","102,932.67","113,634.00","114,751.40","106,340.80","66,131","80,602","71,843.00","104,242.00","88,510.00","92,405.00","67,420.00","57,371.00","76,104.00","70,030.30","70,716.00"
MMBTUs of fuel,"11,280.00","10,380.00","10,190.00","9,370.00","10,350.00","10,450.00","9,680.00","6,020.00","7,340.00","6,540.00","9,490.00","8,060.00","8,410.00","6,140.00","5,220.00","6,930.00","6,380.00","6,440.00"
Metric Tonnes CO2,707.4,651.1,639.2,587.7,648.8,655.2,607.2,377.6,460.2,410.2,595.2,505.4,527.6,384.9,327.6,434.5,399.8,403.8
Tonnes CH4,0.113,0.104,0.102,0.094,0.104,0.105,0.097,0.06,0.073,0.065,0.095,0.081,0.084,0.061,0.052,0.069,0.064,0.064
MTCDE from CH4,2.37,2.18,2.14,1.97,2.17,2.19,2.03,1.26,1.54,1.37,1.99,1.69,1.77,1.29,1.1,1.46,1.34,1.35
Tonnes N2O,0.00677,0.00623,0.00611,0.00562,0.00621,0.00627,0.00581,0.00361,0.0044,0.00392,0.00569,0.00484,0.00505,0.00368,0.00313,0.00416,0.00383,0.00386
MTCDE from N2O,2.1,1.93,1.9,1.74,1.93,1.94,1.8,1.12,1.37,1.22,1.77,1.5,1.56,1.14,0.97,1.29,1.19,1.2
ΣMTCDE from propane,711.9,655.2,643.2,591.4,652.9,659.3,611,380,463.1,412.8,599,508.6,530.9,387.3,329.7,437.2,402.3,406.4
