,Year,Source_MTCDEs,value,Scope_Type
124,2010_2011,Gas,230.0,Scope 1
125,2011_2012,Gas,216.0,Scope 1
126,2012_2013,Gas,240.0,Scope 1
127,2013_2014,Gas,267.0,Scope 1
128,2014_2015,Gas,264.0,Scope 1
129,2015_2016,Gas,245.0,Scope 1
130,2016_2017,Gas,238.0,Scope 1
131,2017_2018,Gas,228.0,Scope 1
132,2018_2019,Gas,205.0,Scope 1
133,2019_2020,Gas,155.0,Scope 1
134,2020_2021,Gas,150.0,Scope 1
135,2021_2022,Gas,167.0,Scope 1
136,2022_2023,Gas,144.0,Scope 1
137,2023_2024,Gas,177.0,Scope 1
138,,Gas,144.0,Scope 1
139,,Gas,0.0,Scope 1
140,2006_2007,Diesel,123.0,Scope 1
141,2007_2008,Diesel,139.0,Scope 1
142,2008_2009,Diesel,185.0,Scope 1
143,2009_2010,Diesel,136.0,Scope 1
144,2010_2011,Diesel,181.0,Scope 1
145,2011_2012,Diesel,141.0,Scope 1
146,2012_2013,Diesel,130.0,Scope 1
147,2013_2014,Diesel,131.0,Scope 1
148,2014_2015,Diesel,136.0,Scope 1
149,2015_2016,Diesel,97.0,Scope 1
150,2016_2017,Diesel,107.0,Scope 1
151,2017_2018,Diesel,108.0,Scope 1
152,2018_2019,Diesel,104.0,Scope 1
153,2019_2020,Diesel,75.0,Scope 1
154,2020_2021,Diesel,76.0,Scope 1
155,2021_2022,Diesel,93.0,Scope 1
156,2022_2023,Diesel,92.0,Scope 1
157,2023_2024,Diesel,93.0,Scope 1
158,,Diesel,89.0,Scope 1
159,,Diesel,0.0,Scope 1
0,2006_2007,Co-Generation,0.0,Scope 2
1,2007_2008,Co-Generation,0.0,Scope 2
2,2008_2009,Co-Generation,0.0,Scope 2
3,2009_2010,Co-Generation,0.0,Scope 2
4,2010_2011,Co-Generation,0.0,Scope 2
5,2011_2012,Co-Generation,0.0,Scope 2
6,2012_2013,Co-Generation,0.0,Scope 2
7,2013_2014,Co-Generation,0.0,Scope 2
8,2014_2015,Co-Generation,0.0,Scope 2
9,2015_2016,Co-Generation,0.0,Scope 2
10,2016_2017,Co-Generation,0.0,Scope 2
11,2017_2018,Co-Generation,0.0,Scope 2
12,2018_2019,Co-Generation,0.0,Scope 2
13,2019_2020,Co-Generation,0.0,Scope 2
14,2020_2021,Co-Generation,0.0,Scope 2
15,2021_2022,Co-Generation,0.0,Scope 2
16,2022_2023,Co-Generation,0.0,Scope 2
17,2023_2024,Co-Generation,0.0,Scope 2
18,2006_2007,Wind,0.0,Scope 2
19,2007_2008,Wind,0.0,Scope 2
20,2008_2009,Wind,0.0,Scope 2
21,2009_2010,Wind,0.0,Scope 2
22,2010_2011,Wind,0.0,Scope 2
23,2011_2012,Wind,0.0,Scope 2
24,2012_2013,Wind,0.0,Scope 2
25,2013_2014,Wind,0.0,Scope 2
26,2014_2015,Wind,0.0,Scope 2
27,2015_2016,Wind,0.0,Scope 2
28,2016_2017,Wind,0.0,Scope 2
29,2017_2018,Wind,0.0,Scope 2
30,2018_2019,Wind,0.0,Scope 2
31,2019_2020,Wind,0.0,Scope 2
32,2020_2021,Wind,0.0,Scope 2
33,2021_2022,Wind,0.0,Scope 2
34,2022_2023,Wind,0.0,Scope 2
35,2023_2024,Wind,0.0,Scope 2
36,2006_2007,Solar,0.0,Scope 2
37,2007_2008,Solar,0.0,Scope 2
38,2008_2009,Solar,0.0,Scope 2
39,2009_2010,Solar,0.0,Scope 2
40,2010_2011,Solar,0.0,Scope 2
41,2011_2012,Solar,0.0,Scope 2
42,2012_2013,Solar,0.0,Scope 2
43,2013_2014,Solar,0.0,Scope 2
44,2014_2015,Solar,0.0,Scope 2
45,2015_2016,Solar,0.0,Scope 2
46,2016_2017,Solar,0.0,Scope 2
47,2017_2018,Solar,0.0,Scope 2
48,2018_2019,Solar,0.0,Scope 2
49,2019_2020,Solar,0.0,Scope 2
50,2020_2021,Solar,0.0,Scope 2
51,2021_2022,Solar,0.0,Scope 2
52,2022_2023,Solar,0.0,Scope 2
53,2023_2024,Solar,0.0,Scope 2
54,2006_2007,CH4 digestion,0.0,Scope 2
55,2007_2008,CH4 digestion,0.0,Scope 2
56,2008_2009,CH4 digestion,0.0,Scope 2
57,2009_2010,CH4 digestion,0.0,Scope 2
58,2010_2011,CH4 digestion,0.0,Scope 2
59,2011_2012,CH4 digestion,0.0,Scope 2
60,2012_2013,CH4 digestion,0.0,Scope 2
61,2013_2014,CH4 digestion,0.0,Scope 2
