Scope 2: Indirect Emissions from Electricity Purchases,,,,,,,,,,,,,,,,,,,,,,,
"This section includes emissions from all stationary combustion of fossil fuels done in direct proportion to an energy source purchased by the institution; i.e. purchased electricity and steam generated outside the geographic/control boundaries set in the introduction, yet consumed within them.",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Calculating kWH of Carbon Emitting Electricity Sources,,,,,,,,,,,,,,,,,,,,,,,
,Fiscal Year:,,,,,,,,,,,,,,,,,,,,,,
Value,FY06/07,FY07/08,FY08/09,FY09/10,FY10/11,FY11/12,FY12/13,FY13/14,FY14/15,FY 15/16,FY 16/17,FY 17/18,FY 18/19,FY 19/20,FY 20/21,FY 21/22,,FY 22/23,FY 23/24,FY 24/25,,,
GMP % FF/Nuke,38.460,40.815,39.870,43.500,44.300,44.455,70.890,70.890,64.000,58.850,63.050,63.050,61.000,66.400,68.100,68.100,,68.100,68.100,68.100,,,
GMP % Renew,61.540,59.185,60.130,56.500,55.700,55.545,29.110,29.110,36.000,41.150,36.950,36.950,39.000,33.600,31.900,31.900,,31.900,31.900,31.900,,,
,,,,,,,,,,,,,,,,,,,,,,,
ISO-NE Generated Sources as Percents:,,,,,,,,,,,,,,,,,,,,,,,
% Biomass,3.40,3.40,3.30,3.20,2.94,4.90,5.51,5.51,0,0,2.92,2.9,0,0,0,0,,0,0,0,,,"*includes other RE (Landfill, methane)"
% Hydro (River/pondage & pumped),5.60,4.80,6.50,7.60,6.20,7.80,7.12,7.12,9,9,8.59,8.4,0,6,0,0,,0,0,0,,,
% Nuclear,28.00,27.50,27.00,28.60,29.00,28.40,30.45,30.45,30,30,25.02,30.8,0,21,0,0,,0,0,0,,,
% Natural Gas,29.80,29.30,29.10,30.30,32.00,38.50,39.79,39.79,41,41,37.52,48,0,42,0,0,,0,0,0,,,
% Coal,11.50,11.90,11.00,11.50,11.00,5.90,5.00,5.00,0.00,0.00,2.35,1.60,0.00,0.10,0.00,0.00,,0.00,0.00,0.00,,,
"% #1, 2, & 4 Fuel Oil",1.40,2.00,1.40,0.70,0.40,,0.28,0.28,20,20,0.23,0.7,0,0,0,0,,0,0,0,,,
% #5 & 6 Fuel Oil,13.50,14.50,12.80,9.80,12.00,,0,0,0,0,,0,0,0,0,0,,0,0,0,,,
% Oil/gas,,,,,,13.20,10,10,0,0,0.23,0,0,0.1,0,0,,0,0,0,,,
% Wind & Solar and landfill gas,,,,,,0.60,1.86,1.86,0,0,3.57,4.5,0,10,0,0,,0,0,0,,,
% Other (assume NPCC grid),3.70,3.80,7.40,8.30,6.46,,0,0,0,0,19.79,3.2,0,21,0,0,,0,0,0,,,
Should be 100:,96.900,97.200,98.500,100.000,100.000,99.30,100.010,100.010,100.000,100.000,100.220,100.100,0.000,100.200,0.000,0.000,,0.000,0.000,0.000,,,
ISO NE % FF,91.00,91.80,90.20,89.20,90.86,86.70,85.51,85.51,91.00,91.00,84.92,84.20,100.00,84.00,100.00,100.00,,100.00,100.00,100.00,,,
ISO NE % Renew,9.00,8.20,9.80,10.80,9.14,13.30,14.49,14.49,9.00,9.00,15.08,15.80,0.00,16.00,0.00,0.00,,0.00,0.00,0.00,,,
,,,,,,,,,,,,,,,,,,,,,,,
Adjusted Sources as Percents:,,,,,,,,,,,,,,,,,,,,,,,
% Biomass,1.607,1.898,1.675,3.500,3.900,3.484,5.261,5.261,0.000,0.000,1.329,1.320,0.000,0.000,0.000,0.000,,0.000,0.000,0.000,,,
% Hydro,36.050,37.709,37.287,39.700,40.300,39.633,48.471,48.471,45.960,36.833,44.208,44.122,61.000,61.824,65.300,65.300,,65.300,65.300,65.300,,,
% Nuclear,54.709,48.805,50.290,54.500,50.100,52.386,19.955,19.955,26.200,30.110,25.184,27.814,28.000,31.534,31.900,31.900,,31.900,31.900,31.900,,,
% Natural Gas,0.584,0.847,0.658,0.000,0.000,0.658,17.915,17.915,18.040,22.017,17.472,22.240,6.000,2.518,0.000,0.000,,0.000,0.000,0.000,,,
% Coal,0.225,0.344,0.249,0.000,0.000,0.101,2.206,2.206,0.000,0.000,1.069,0.728,0.000,0.005,0.000,0.000,,0.000,0.000,0.000,,,
"% #1, 2, & 4 Fuel Oil",0.047,0.078,0.052,0.200,0.000,0.030,0.124,1.124,9.800,11.040,0.105,0.319,5.000,0.250,0.000,0.000,,0.000,0.000,0.000,,,
% #5 & 6 Fuel Oil,0.295,0.589,0.359,0.000,0.100,0.070,0.090,0.090,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,0.000,0.000,0.000,,,
% Other (assume NPCC grid),6.423,9.660,9.397,1.800,5.500,4.500,0.000,0.000,0.000,0.000,9.004,1.456,0.000,1.134,0.000,0.000,,0.000,0.000,0.000,,,
